"municipio";"nombre_cine";"numero_pantallas";"fecha_inaguracion";"direccion";"comunidad"
"Albánchez";"Salón Alhambra";"2";"1930";"c/ Almería, 14";"ANDALUCIA"
"Alcalá de Guadaíra";"Salón Gutiérrez de Alba (Cine‐ Teatro Gutiérrez de Alba)";"3";"1931";"c/ Nuestra Señora del Águila, 49";"ANDALUCIA"
"Alcalá de los Gazules";"Cine Andalucía";"1";"1957";"Pl. de Santo Domingo, s/n";"ANDALUCIA"
"Alcalá la Real";"Teatro Martínez Montañés";"3";"1916";"c/ Emilio Mesejo, 5";"ANDALUCIA"
"Algeciras";"Cine Baluarte";"2";"1996";"c/ Trafalgar, s/n";"ANDALUCIA"
"Algeciras";"Cine Magallanes";"2";"1987";"Avda. de las Fuerzas Armadas, 1";"ANDALUCIA"
"Algeciras";"Teatro Municipal Florida";"3";"1945";"Avda. Agustín Bálsamo, s/n";"ANDALUCIA"
"Algeciras";"(Teatro Cine Florida, Cine Florida)";"";"";"esquina José Fariña";"ANDALUCIA"
"Alhama de Granada";"Cine Pérez";"2";"1920";"c/ Peñas, s/n";"ANDALUCIA"
"Alhaurín el Grande";"Cine San Francisco (Teatro Cine San Francisco)";"1";"1977";"c/ Convento, 57";"ANDALUCIA"
"Aljaraque";"Teatro Cinema de Corrales";"3";"1954";"c/ El Cabezo, s/n (Poblado Minero de Corrales)";"ANDALUCIA"
"Almería";"Cine Katiuska (Salón Katiuska, ""el cine rojo"", Salón Nacional)";"1";"1936";"c/ General Luque, 70";"ANDALUCIA"
"Almería";"Cine Reyes Católicos";"2";"1961";"c/ Reyes Católicos, 27";"ANDALUCIA"
"Almería";"Minicines Moderno";"2";"1969";"c/ José María de Acosta, s/n";"ANDALUCIA"
"Almería";"Teatro Cervantes (Cine Cervantes)";"3";"1921";"c/ Poeta Villaespesa, 1, esquina con Paseo de Almería, 56";"ANDALUCIA"
"Almonaster la Real";"Cine de Mina Concepción";"2";"1955";"Avda. del Yacimiento. Mina Concepción";"ANDALUCIA"
"Almonte";"Cine Andaluz (Cine Cervantes)";"2";"1950";"c/ Miguel Hernández, esquina c/ Lorenzo Cruz";"ANDALUCIA"
"Andújar";"Cine Tívoli";"2";"1934";"Pl. del Castillo, 8";"ANDALUCIA"
"Antas";"Cine San Juan";"1";"1970";"c/ Blas Infante, 16";"ANDALUCIA"
"Antequera";"Ideal Cinema";"2";"1941";"c/ Infante Don Fernando, 47";"ANDALUCIA"
"Antequera";"Teatro‐Cine Torcal Municipal (Cine Torcal)";"3";"1934";"c/ Cantareros, 4‐6";"ANDALUCIA"
"Arahal";"Teatro Cine Cervantes (Cine Cervantes)";"1";"1970";"c/ San Roque, s/n";"ANDALUCIA"
"Arcos de la Frontera";"Teatro Olivares Veas";"3";"1912";"c/ de Maldonado, s/n";"ANDALUCIA"
"Arjona";"Centro Cultural (Cine Capitol)";"2";"1962";"c/ Cervantes, 10";"ANDALUCIA"
"Arriate";"Sala Los Caireles (Ideal Cinema)";"3";"1947";"c/ Ronda, 10";"ANDALUCIA"
"Atarfe";"Cine Alhamar (Ideal Cinema)";"1";"1943";"c/ Enrique Ruiz Cabello, 27";"ANDALUCIA"
"Ayamonte";"Teatro Cine Cardenio (Cine Cardenio)";"3";"1952";"c/ Enrique Villegas Vélez, s/n";"ANDALUCIA"
"Baena";"Teatro Liceo";"3";"1910";"Pl. de la Constitución, s/n";"ANDALUCIA"
"Baeza";"Cine de El Puente del Obispo";"2";"1955";"c/ 28 de febrero, 1. Poblado de El Puente del Obispo";"ANDALUCIA"
"Baeza";"Teatro Municipal Montemar (Teatro Cine Montemar)";"3";"1968";"c/ Cózar, 5";"ANDALUCIA"
"Bailén";"Cine España";"1";"1955";"c/ Conde de Torreanaz, 6";"ANDALUCIA"
"Barbate";"Teatro‐Cine Avenida";"1";"1949";"Avda. Río Barbate, 25";"ANDALUCIA"
